NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,STFIPS,COFIPS,FIPSNO,HR7983,HR8587,HR8995,HC7983,HC8587,HC8995,PO7983,PO8587,PO8995,PE77,PE82,PE87,RDAC80,RDAC85,RDAC90
Cherokee                        ,North Carolina           ,37,039,37039,              37,              39,           37039,      6.298816,       6.742065,       7.598889,        6,        4,       11,    95256,    59329,   144758,     2.933480,    1.605377,     1.922455,     0.897757,     0.444341,     0.134578
Polk                            ,Tennessee                ,47,139,47139,              47,             139,           47139,     13.271204,       9.629968,      11.315708,        9,        4,       11,    67816,    41537,    97210,     4.422696,    3.994711,     3.833682,    -0.012454,    -0.140179,    -0.192610
Oconee                          ,South Carolina           ,45,073,45073,              45,              73,           45073,     14.174115,       6.246720,       7.255753,       35,       10,       30,   246929,   160084,   413465,     3.716055,    3.635228,     3.789255,    -0.168537,    -0.311719,    -0.368479
Rabun                           ,Georgia                  ,13,241,13241,              13,             241,           13241,     13.306214,       6.038830,      10.719135,        7,        2,        9,    52607,    33119,    83962,     2.637461,    2.625957,     4.394626,     0.449209,     0.058768,    -0.229536
Whitfield                       ,Georgia                  ,13,313,13313,              13,             313,           13313,     10.274169,       6.715627,       5.908183,       34,       14,       31,   330927,   208469,   524696,     4.099088,    2.877935,     2.452316,    -0.318807,    -0.476584,    -0.566740
Murray                          ,Georgia                  ,13,213,13213,              13,             213,           13213,     13.876912,       5.813615,       4.127222,       14,        4,        8,   100887,    68804,   193835,     4.109589,    4.410952,     3.494970,    -0.485121,    -0.685540,    -0.835694
Walker                          ,Georgia                  ,13,295,13295,              13,             295,           13295,     10.224264,       5.230703,       5.537778,       29,        9,       23,   283639,   172061,   415329,     4.012825,    4.529491,     4.587005,    -0.284244,    -0.403109,    -0.447148
Towns                           ,Georgia                  ,13,281,13281,              13,             281,           13281,      3.416234,       5.206164,       4.028928,        1,        1,        2,    29272,    19208,    49641,     2.404007,    2.436975,     3.694701,     1.182730,     0.497340,    -0.009981
Union                           ,Georgia                  ,13,291,13291,              13,             291,           13291,      4.182613,       3.137353,       4.434049,        2,        1,        4,    47817,    31874,    90211,     1.823109,    1.308603,     1.247505,     1.438772,     0.646412,     0.098484
Fannin                          ,Georgia                  ,13,111,13111,              13,             111,           13111,     14.819405,       8.593834,       8.647302,       11,        4,       10,    74227,    46545,   115643,     3.725347,    3.712480,     4.116578,     0.570016,     0.218349,    -0.012815
De Kalb                         ,Alabama                  ,01,049,01049,               1,              49,            1049,      7.434889,       6.817478,       8.929551,       20,       11,       35,   269002,   161350,   391957,     5.849497,    5.583068,     6.010943,     0.402105,     0.136934,    -0.065875
Gilmer                          ,Georgia                  ,13,123,13123,              13,             123,           13123,      3.563538,       0.000000,       4.946039,        2,        0,        5,    56124,    36546,   101091,     4.122991,    4.505256,     3.401415,     0.440731,     0.033060,    -0.267303
Habersham                       ,Georgia                  ,13,137,13137,              13,             137,           13137,     11.816792,       7.551254,       2.488342,       15,        6,        5,   126938,    79457,   200937,     4.942077,    4.368730,     2.848849,     0.220126,    -0.191158,    -0.488021
White                           ,Georgia                  ,13,311,13311,              13,             311,           13311,      3.853119,       8.569470,       3.083660,        2,        3,        3,    51906,    35008,    97287,     4.831933,    5.775344,     4.010369,     0.408084,    -0.067800,    -0.447920
Lumpkin                         ,Georgia                  ,13,187,13187,              13,             187,           13187,      9.038976,       5.264543,       8.350421,        5,        2,        9,    55316,    37990,   107779,     5.010020,    2.993039,     3.687892,     0.207039,    -0.159540,    -0.351067
Stephens                        ,Georgia                  ,13,257,13257,              13,             257,           13257,     10.006368,      10.255809,       7.717515,       11,        7,       13,   109930,    68254,   168448,     3.048780,    3.552568,     2.586260,    -0.017862,    -0.073223,    -0.077691
Gordon                          ,Georgia                  ,13,129,13129,              13,             129,           13129,      9.836066,       5.051679,       7.435555,       15,        5,       19,   152500,    98977,   255529,     4.274466,    5.138858,     5.009998,    -0.209903,    -0.491178,    -0.640013
Dawson                          ,Georgia                  ,13,085,13085,              13,              85,           13085,      3.926959,       9.015100,       6.849127,        1,        2,        5,    25465,    22185,    73002,     3.827519,    6.462953,     4.539658,     0.157312,    -0.233689,    -0.419987
Floyd                           ,Georgia                  ,13,115,13115,              13,             115,           13115,     13.548742,      10.008841,      10.577148,       54,       24,       61,   398561,   239788,   576715,     4.999027,    4.144607,     3.153195,     0.044529,    -0.032006,    -0.056005
Chattooga                       ,Georgia                  ,13,055,13055,              13,              55,           13055,     12.830853,       7.619280,       8.886688,       14,        5,       14,   109112,    65623,   157539,     4.095292,    4.766088,     5.848435,     0.121619,    -0.022029,    -0.089995
Pickens                         ,Georgia                  ,13,227,13227,              13,             227,           13227,      5.066198,       5.077560,       7.485240,        3,        2,        8,    59216,    39389,   106877,     2.055733,    3.889934,     4.877852,     0.273263,    -0.104155,    -0.378349
