Rank2013,Rank2012,School,State,School.Type,Student.Survey.Rank,Employer.Survey.Rank,MBA.Feeder.School.Rank,Academic.Quality.Rank,Index.Number,Annual.Tuition,Full.Time.Enrollment,Median.Starting.Salary,Student.Faculty.Ratio,Average.SAT.Score,Teaching.Quality.Grade,Facilities.and.Services.Grade,Job.Placement.Grade
1,1,Notre Dame (Mendoza),IN,Private,1,5,14,6,100,42464,1928,57000,15,1414,A+,A+,A+
2,2,Virginia (McIntire),VA,Public,3,15,9,6,91.83,9622,685,60000,9.9,1390,A+,A+,A+
3,3,Cornell (Dyson),NY,Private,2,21,2,28,90.86,27045,696,58922,15.8,1416,A+,A+,A+
4,8,Washington U. - St. Louis (Olin),MO,Private,6,34,1,9,90.29,44100,761,62000,10,1492,A+,A+,A
5,4,Pennsylvania (Wharton),PA,Private,9,26,13,2,89.77,39088,2545,70000,9.7,1461,A+,A+,A+
6,9,Boston College (Carroll),MA,Private,15,9,11,9,87.53,43140,1956,60000,22.5,1355,A+,A,A+
7,5,Emory (Goizueta),GA,Private,8,16,10,9,86.57,42400,698,60000,9.7,1377,A+,A,A
8,7,Michigan - Ann Arbor (Ross),MI,Public,27,14,6,14,84.91,13040,1328,65000,12.5,1377,B,A,A+
9,17,Texas - Austin (McCombs),TX,Public,11,4,17,35,84.73,10738,4093,55000,24,1362,A+,A+,A+
10,10,North Carolina - Chapel Hill (Kenan Flagler),NC,Public,7,28,12,14,83.66,5823,678,60000,10.9,1350,A+,A+,A+
11,11,UC - Berkeley (Haas),CA,Public,46,17,3,2,83.59,14985,690,60000,17.3,1396,A,A,A
12,21,Brigham Young (Marriott),UT,Private,12,3,21,35,82.95,4710,1533,51000,15,1219,A+,A,A+
13,16,Indiana (Kelley),IN,Public,20,1,41,28,82.67,8750,4713,55000,20.4,1299,A,A,A+
14,12,NYU (Stern),NY,Private,32,25,8,9,80.79,41358,2438,63250,12.2,1444,A+,A,A
15,13,Villanova,PA,Private,17,31,28,2,79.58,42150,1555,55000,14.8,1322,A+,B,A+
16,14,Georgetown (McDonough),DC,Private,43,22,5,14,79.3,42360,1252,63000,22,1372,A+,C,A
17,15,Richmond (Robins),VA,Private,4,106,37,2,77.2,44210,835,56764,13.4,1301,A+,A+,A
18,19,Wake Forest,NC,Private,41,40,16,1,76.71,42700,519,57000,13.3,1333,A+,B,A
19,6,MIT (Sloan),MA,Private,21,80,7,28,76.21,41770,123,70000,0.9,1457,B,B,B
20,29,Bentley,MA,Private,25,10,61,20,74.96,38130,4019,50000,19,1207,A,A,A
21,26,Illinois - Urbana-Champaign,IL,Public,59,6,29,28,74.83,16556,2904,55000,17.6,1345,C,A,A+
22,23,Miami U. (Farmer),OH,Public,16,32,27,20,74.8,13067,4179,55000,18.6,1240,A+,A+,A+
23,18,Boston U.,MA,Private,18,20,24,20,74.66,42400,2185,52000,16,1296,A+,A+,B
24,20,Carnegie Mellon (Tepper),PA,Private,92,69,4,6,73.25,44880,363,70000,11,1415,B,C,B
25,27,Northeastern (D'Amore-McKim),MA,Private,29,19,83,14,73.13,39320,3436,55000,21.1,1367,A,A,A+
26,22,Penn State - University Park (Smeal),PA,Public,19,2,52,92,72.5,17824,5092,56000,31,1226,A,A,A+
27,25,William & Mary (Mason),VA,Public,22,98,19,9,71.27,8677,506,55000,12.1,1343,A+,A,A
28,28,Texas Christian (Neeley),TX,Private,5,84,33,35,70.13,36500,1789,53000,24,1196,A+,A+,A+
29,32,James Madison,VA,Public,14,45,71,46,69.49,8808,3103,58000,26.8,1156,A+,A+,A
