序号,当前微博作者,微博内容,VIP,发布时间,当前微博转发数,当前微博评论数,被转发微博作者,被转微博内容,被转作者是否VIP,被转微博转发数,被转微博评论数,被转微博发布时间
381,青年共产主义者同盟,我们不打算救卡扎菲，我们只打算抗美——如果NATO硬要干涉利比亚，我可以勉强和反对派并肩作战……,FALSE,2011/8/22 15:08,0,0,吴祚来,"乌有之乡的孩子们高声齐唱，准备出发了：熊纠纠气昂昂跨过大西洋，卡扎菲，别慌张，卡丝来救场。保稳定,保独裁,就是保家乡,  中国红儿女,齐心团结紧,  抗西方援老卡打败美帝野心狼  雄赳赳,气昂昂,跨过大西洋,  保稳定,为独裁就是保家乡,  中国红儿女,齐心团结紧,  抗美援卡打败美帝野心狼。",FALSE,38,25,2011/8/22 15:04
398,青年共产主义者同盟,我们不打算救卡扎菲，我们只打算抗美——如果NATO硬要干涉利比亚，我可以勉强和反对派并肩作战……,FALSE,2011/8/22 15:08,0,0,吴祚来,"乌有之乡的孩子们高声齐唱，准备出发了：熊纠纠气昂昂跨过大西洋，卡扎菲，别慌张，卡丝来救场。保稳定,保独裁,就是保家乡,  中国红儿女,齐心团结紧,  抗西方援老卡打败美帝野心狼  雄赳赳,气昂昂,跨过大西洋,  保稳定,为独裁就是保家乡,  中国红儿女,齐心团结紧,  抗美援卡打败美帝野心狼。",FALSE,37,25,2011/8/22 15:04
415,青年共产主义者同盟,我们不打算救卡扎菲，我们只打算抗美——如果NATO硬要干涉利比亚，我可以勉强和反对派并肩作战……,FALSE,2011/8/22 15:08,0,0,吴祚来,"乌有之乡的孩子们高声齐唱，准备出发了：熊纠纠气昂昂跨过大西洋，卡扎菲，别慌张，卡丝来救场。保稳定,保独裁,就是保家乡,  中国红儿女,齐心团结紧,  抗西方援老卡打败美帝野心狼  雄赳赳,气昂昂,跨过大西洋,  保稳定,为独裁就是保家乡,  中国红儿女,齐心团结紧,  抗美援卡打败美帝野心狼。",FALSE,37,25,2011/8/22 15:04
432,青年共产主义者同盟,我们不打算救卡扎菲，我们只打算抗美——如果NATO硬要干涉利比亚，我可以勉强和反对派并肩作战……,FALSE,2011/8/22 15:08,0,0,吴祚来,"乌有之乡的孩子们高声齐唱，准备出发了：熊纠纠气昂昂跨过大西洋，卡扎菲，别慌张，卡丝来救场。保稳定,保独裁,就是保家乡,  中国红儿女,齐心团结紧,  抗西方援老卡打败美帝野心狼  雄赳赳,气昂昂,跨过大西洋,  保稳定,为独裁就是保家乡,  中国红儿女,齐心团结紧,  抗美援卡打败美帝野心狼。",FALSE,38,25,2011/8/22 15:04
172,天安门前的拖拉机手,卡扎菲已经被杀,FALSE,2011/8/22 15:07,0,0,fm954汽车广播,8月21日，上万利比亚人在港口城市班加西庆祝利比亚反对派武装控制的黎波里。,FALSE,1,1,2011/8/22 15:01
185,天安门前的拖拉机手,卡扎菲已经被杀,FALSE,2011/8/22 15:07,0,0,fm954汽车广播,8月21日，上万利比亚人在港口城市班加西庆祝利比亚反对派武装控制的黎波里。,FALSE,1,1,2011/8/22 15:01
198,天安门前的拖拉机手,卡扎菲已经被杀,FALSE,2011/8/22 15:07,0,0,fm954汽车广播,8月21日，上万利比亚人在港口城市班加西庆祝利比亚反对派武装控制的黎波里。,FALSE,1,1,2011/8/22 15:01
211,天安门前的拖拉机手,卡扎菲已经被杀,FALSE,2011/8/22 15:07,0,0,fm954汽车广播,8月21日，上万利比亚人在港口城市班加西庆祝利比亚反对派武装控制的黎波里。,FALSE,1,1,2011/8/22 15:01
224,天安门前的拖拉机手,卡扎菲已经被杀,FALSE,2011/8/22 15:07,0,0,fm954汽车广播,8月21日，上万利比亚人在港口城市班加西庆祝利比亚反对派武装控制的黎波里。,FALSE,1,1,2011/8/22 15:01
244,天安门前的拖拉机手,卡扎菲已经被杀,FALSE,2011/8/22 15:07,0,0,fm954汽车广播,8月21日，上万利比亚人在港口城市班加西庆祝利比亚反对派武装控制的黎波里。,FALSE,1,1,2011/8/22 15:01
