"","Var1","Freq","rank","web"
"292","2complex2know",45,198,"http://twitter.com/2complex2know"
"362","3ronald55",45,197,"http://twitter.com/3ronald55"
"1086","akuma_river",50,171,"http://twitter.com/akuma_river"
"1270","AllAboutHelp",66,105,"http://twitter.com/AllAboutHelp"
"1315","AlmaMaderoB",47,186,"http://twitter.com/AlmaMaderoB"
"1331","AlohaEvery1",106,62,"http://twitter.com/AlohaEvery1"
"1690","AngryHuman43",81,87,"http://twitter.com/AngryHuman43"
"1853","Anonymoustemp",91,76,"http://twitter.com/Anonymoustemp"
"1953","apls452",69,101,"http://twitter.com/apls452"
"2046","ariherstand",146,36,"http://twitter.com/ariherstand"
"2268","AtomAu",53,160,"http://twitter.com/AtomAu"
"2623","BBows216",54,150,"http://twitter.com/BBows216"
"2739","BellaStarletDog",50,176,"http://twitter.com/BellaStarletDog"
"3074","BKLYN_OccupyWS",113,59,"http://twitter.com/BKLYN_OccupyWS"
"3414","BPGulfLeak",51,166,"http://twitter.com/BPGulfLeak"
"3821","byronkingdotcom",53,156,"http://twitter.com/byronkingdotcom"
"3904","CaliFlowers",45,195,"http://twitter.com/CaliFlowers"
"3954","canativeobt",52,162,"http://twitter.com/canativeobt"
"4166","Catherina_Guate",59,129,"http://twitter.com/Catherina_Guate"
"4270","Celladrella",82,85,"http://twitter.com/Celladrella"
"4442","CherylTibbs34",63,114,"http://twitter.com/CherylTibbs34"
"4758","cjohanns",93,73,"http://twitter.com/cjohanns"
"4837","cliffpotts",57,137,"http://twitter.com/cliffpotts"
"4982","collincummings",53,161,"http://twitter.com/collincummings"
"5154","Corteo7",125,49,"http://twitter.com/Corteo7"
"5390","CulturalHistory",115,57,"http://twitter.com/CulturalHistory"
"5638","dangainor",99,67,"http://twitter.com/dangainor"
"5669","Danielle2671",53,158,"http://twitter.com/Danielle2671"
"5723","DanonNewsNet",69,103,"http://twitter.com/DanonNewsNet"
"6011","ddsnorth",51,167,"http://twitter.com/ddsnorth"
"6158","demandequality",57,135,"http://twitter.com/demandequality"
"6269","deuxel",53,153,"http://twitter.com/deuxel"
"6276","DevineJim",195,20,"http://twitter.com/DevineJim"
"6312","Dgirl34",53,157,"http://twitter.com/Dgirl34"
"6402","diggrbiii",56,142,"http://twitter.com/diggrbiii"
"6451","dissectus",175,24,"http://twitter.com/dissectus"
"6492","djcnorwich",140,39,"http://twitter.com/djcnorwich"
"6555","dlefevre23",55,145,"http://twitter.com/dlefevre23"
"6609","docholly",132,45,"http://twitter.com/docholly"
"6690","DonRhetorick",92,74,"http://twitter.com/DonRhetorick"
"6693","DonShappelle",218,16,"http://twitter.com/DonShappelle"
"6784","dragonfire1024",89,78,"http://twitter.com/dragonfire1024"
"6799","DRBACTER",71,97,"http://twitter.com/DRBACTER"
"6824","dredeyedick",48,183,"http://twitter.com/dredeyedick"
"6985","DustinSlaughter",50,170,"http://twitter.com/DustinSlaughter"
"6992","Dutchmasterr",139,41,"http://twitter.com/Dutchmasterr"
"7005","dvw2",49,182,"http://twitter.com/dvw2"
