"","Var1","Freq","rank","web"
"519","ABC",83,85,"http://twitter.com/ABC"
"588","AC360",61,120,"http://twitter.com/AC360"
"704","Adbusters",69,104,"http://twitter.com/Adbusters"
"802","AFLCIO",52,146,"http://twitter.com/AFLCIO"
"918","AJEnglish",94,75,"http://twitter.com/AJEnglish"
"931","AJStream",164,38,"http://twitter.com/AJStream"
"1037","AlecBaldwin",250,24,"http://twitter.com/AlecBaldwin"
"1173","AlisonKosikCNN",69,106,"http://twitter.com/AlisonKosikCNN"
"1228","allisonkilkenny",235,26,"http://twitter.com/allisonkilkenny"
"1528","andersoncooper",480,10,"http://twitter.com/andersoncooper"
"1572","AndrewBreitbart",120,52,"http://twitter.com/AndrewBreitbart"
"1676","AngryBlackLady",42,188,"http://twitter.com/AngryBlackLady"
"1716","anjalimullany",48,160,"http://twitter.com/anjalimullany"
"1745","AnnCoulter",41,192,"http://twitter.com/AnnCoulter"
"1792","Anon_Central",121,51,"http://twitter.com/Anon_Central"
"1852","anonops",459,12,"http://twitter.com/anonops"
"1904","AnonymousIRC",494,9,"http://twitter.com/AnonymousIRC"
"1918","AnonyOps",250,23,"http://twitter.com/AnonyOps"
"1950","AnthonyCumia",185,33,"http://twitter.com/AnthonyCumia"
"1984","AntiSec_",83,84,"http://twitter.com/AntiSec_"
"2018","AP",89,81,"http://twitter.com/AP"
"2114","ariannahuff",62,116,"http://twitter.com/ariannahuff"
"2486","AyeshaKazmi",41,196,"http://twitter.com/AyeshaKazmi"
"2545","BABYDIABOLICAL",40,198,"http://twitter.com/BABYDIABOLICAL"
"2645","BarackObama",775,5,"http://twitter.com/BarackObama"
"2754","BBCNews",42,189,"http://twitter.com/BBCNews"
"3171","billmaher",89,80,"http://twitter.com/billmaher"
"3347","blogdiva",330,19,"http://twitter.com/blogdiva"
"3579","BPGulfLeak",66,111,"http://twitter.com/BPGulfLeak"
"3671","BreakingNews",71,102,"http://twitter.com/BreakingNews"
"4100","CabinCr3w",63,114,"http://twitter.com/CabinCr3w"
"4513","CBSNews",78,94,"http://twitter.com/CBSNews"
"4580","CelluloidBlonde",56,136,"http://twitter.com/CelluloidBlonde"
"4672","CharlesBivona",49,158,"http://twitter.com/CharlesBivona"
"4925","chrislhayes",188,32,"http://twitter.com/chrislhayes"
"5112","cjohanns",82,90,"http://twitter.com/cjohanns"
"5244","CNN",557,7,"http://twitter.com/CNN"
"5247","cnnbrk",104,67,"http://twitter.com/cnnbrk"
"5537","CornelWest",199,30,"http://twitter.com/CornelWest"
"5765","cspanwj",183,34,"http://twitter.com/cspanwj"
"6060","DanaPerino",102,69,"http://twitter.com/DanaPerino"
"6094","dangainor",45,175,"http://twitter.com/dangainor"
"6172","DannyDeVito",41,191,"http://twitter.com/DannyDeVito"
"6333","daveweigel",45,178,"http://twitter.com/daveweigel"
"6539","DearCitizenTV",44,181,"http://twitter.com/DearCitizenTV"
"6593","DeepakChopra",67,108,"http://twitter.com/DeepakChopra"
"6660","democracynow",200,29,"http://twitter.com/democracynow"
"6721","derekahunter",67,109,"http://twitter.com/derekahunter"
"6857","dianesawyer",41,193,"http://twitter.com/dianesawyer"
"6890","diggrbiii",197,31,"http://twitter.com/diggrbiii"
"7008","djcnorwich",59,127,"http://twitter.com/djcnorwich"
"7202","donlemoncnn",47,168,"http://twitter.com/donlemoncnn"
"7326","dragonfire1024",43,184,"http://twitter.com/dragonfire1024"
"7528","DustinSlaughter",157,41,"http://twitter.com/DustinSlaughter"
"7572","DylanRatigan",366,15,"http://twitter.com/DylanRatigan"
"7716","edshow",119,53,"http://twitter.com/edshow"
"8093","EricBoehlert",65,112,"http://twitter.com/EricBoehlert"
"8095","EricCantor",69,103,"http://twitter.com/EricCantor"
