city,urb1997,urbangroth,mining,manufactural,RD,eduction,openness
北京市,59.39755075,0.208122115,0.368165588,10.88391359,3.084971343,3.07266223,0.061349534
石家庄市,22.28461154,0.614843803,0.43599175,9.191073086,0.219352703,1.26127804,0.007924864
唐山市,26.37504722,0.239281126,2.310050971,7.80073515,0.0520969,1.264035316,0.066258244
秦皇岛市,24.17611792,0.552662434,0.508821127,5.302688587,0.146930208,1.322371873,0.012923937
邯郸市,17.23958591,0.627625978,1.647182221,4.288128381,0.096974399,1.066718386,0.016441034
邢台市,12.84099614,0.597862795,0.913764145,6.679208107,0.058044057,1.00515318,0.00791474
保定市,14.26129285,0.615759464,0.251482367,4.427055154,0.168165854,1.091326321,0.047534179
张家口市,23.03165262,0.329448202,2.090785823,5.681297369,0.078317054,1.126895381,0.00570492
承德市,17.68948935,0.405851173,1.243559567,2.8746149,0.06497374,1.164112838,0.002081933
沧州市,14.85229464,0.7116432,0.339869297,5.06564145,0.042247571,1.113927616,0.009794586
太原市,65.39143481,0.101214697,2.962931681,12.57840489,0.874441329,2.104211198,0.035109303
大同市,41.02640166,0.134635269,5.822249922,4.702862462,0.205128205,1.631410256,0.018985308
阳泉市,43.0814524,0.325643805,10.99582964,5.693158528,0.100510283,1.414875522,0.004586682
长治市,21.20122868,0.337727374,3.516775388,4.124585187,0.085522297,1.282834453,0.047650734
晋城市,16.6763313,0.367412333,6.564950843,3.306106111,0.063179746,1.236517893,0.04650105
朔州市,20.31827438,0.232492472,2.867813153,1.948973894,0.025778179,1.26313076,0.006851328
呼和浩特市,42.69601238,0.096791168,0.077090664,5.827821851,0.575122604,2.028533214,0.025765231
包头市,60.08948321,0.035503681,0.788058787,11.47602546,0.330639236,1.57053637,0.217582257
乌海市,82.4236093,0.112651139,8.673749768,7.003231096,0.186451212,1.40874249,0.000554619
赤峰市,17.71800045,0.281625255,1.188265348,2.274166127,0.081053254,1.463339832,0.002785296
沈阳市,62.71890769,0.028601913,0.415002162,11.48265905,0.562010343,1.515045339,0.0997055
大连市,48.12162262,0.214330796,0.205631946,10.60599187,0.221128958,1.271920051,0.199603137
鞍山市,50.18425164,0.004596555,0.419815278,11.29382973,0.21341984,1.106937568,0.056278803
抚顺市,65.35921817,0.009719594,3.345803728,10.595566,0.215063399,1.04843407,0.014046494
本溪市,64.48867272,0.037990142,1.864488562,12.44902508,0.12848516,1.310548632,0.012851562
丹东市,40.39834649,0.036975757,0.752607996,10.1899806,0.177173465,1.075401731,0.028414263
锦州市,34.68446202,0.136881337,0.986768213,8.203782223,0.245011122,1.099326219,0.028325168
营口市,37.4532173,0.212609007,0.208516611,6.539268714,0.124037639,1.017964072,0.08778701
阜新市,44.17971409,0.013338209,3.768999432,3.860711139,0.150680661,1.247012366,0.005844254
辽阳市,41.6076049,0.048173445,0.193199726,11.35863501,0.147227221,0.986967665,0.019028552
盘锦市,49.87601539,0.485367479,8.309030347,6.584106224,0.247678019,1.068111455,0.010027427
铁岭市,29.43256383,0.08447557,2.390148569,2.985626063,0.166704802,0.944660543,0.017253167
朝阳市,24.98790956,0.095228439,1.001694895,3.937320215,0.085063945,1.16156283,0.007028538
长春市,39.81046813,0.102282487,0.166148428,6.262246245,0.496990153,1.686311509,0.100361447
吉林市,47.70479153,0.013702305,1.131943159,6.181970124,0.104953341,1.168176322,0.034511308
四平市,36.11974019,0.0436051,0.291371353,3.699616956,0.180708615,1.184974523,0.012917592
通化市,45.34469269,0.015092667,1.264302517,5.309858065,0.136144049,1.146245059,0.018524729
白山市,64.84659781,0.051869061,6.715497649,3.314238132,0.107958051,1.341764343,0.007457902
松原市,24.53667155,0.123414905,2.58475237,1.615023639,0.098214599,1.168052194,0.02006865
哈尔滨市,12.41105683,1.356430576,0.546727303,7.581039892,0.340452185,1.4921302,0.055198448
